time,buyer,seller,quantity_kWh
2018-08-24 16:50:00+00:00,h1,h4,0.0060833333333333
2018-08-24 17:00:00+00:00,h1,h4,0.4006333333333333
2018-08-24 17:00:00+00:00,h2,h4,0.20735
2018-08-24 17:00:00+00:00,h2,h5,0.0567999999999998
2018-08-24 17:10:00+00:00,h2,h4,0.21435
2018-08-24 17:10:00+00:00,h1,h4,0.0087999999999999
2018-08-24 17:20:00+00:00,h2,h4,0.2431166666666667
2018-08-24 17:20:00+00:00,h5,h4,0.0050666666666667
2018-08-24 17:30:00+00:00,h2,h4,0.4370333333333333
2018-08-24 17:30:00+00:00,h1,h4,0.2153333333333333
2018-08-24 17:30:00+00:00,h1,h5,0.0682666666666666
2018-08-24 17:40:00+00:00,h1,h4,0.2772833333333333
2018-08-24 17:40:00+00:00,h2,h4,0.01305
2018-08-24 17:50:00+00:00,h2,h4,0.5576166666666666
2018-08-24 17:50:00+00:00,h2,h3,0.0450166666666667
2018-08-24 17:50:00+00:00,h1,h3,0.0476666666666665
2018-08-24 18:00:00+00:00,h1,h4,0.2759333333333332
2018-08-24 18:00:00+00:00,h5,h4,0.0578
2018-08-24 18:10:00+00:00,h2,h4,0.2209333333333333
2018-08-24 18:20:00+00:00,h2,h5,0.3874499999999999
2018-08-24 18:30:00+00:00,h2,h5,0.5926333333333333
2018-08-24 18:30:00+00:00,h1,h5,0.0084833333333332
2018-08-24 18:30:00+00:00,h1,h4,0.2098833333333333
2018-08-24 18:40:00+00:00,h2,h5,0.3321666666666665
2018-08-24 18:40:00+00:00,h1,h5,0.1348666666666666
2018-08-24 18:50:00+00:00,h2,h4,0.2407333333333333
2018-08-24 19:00:00+00:00,h5,h4,0.0709166666666665
2018-08-24 19:00:00+00:00,h2,h4,0.0598166666666667
2018-08-24 19:00:00+00:00,h1,h4,0.0209999999999999
2018-08-24 19:10:00+00:00,h2,h5,0.4752833333333333
2018-08-24 19:10:00+00:00,h2,h4,0.0437333333333334
2018-08-24 19:10:00+00:00,h1,h4,0.2856000000000001
2018-08-24 19:20:00+00:00,h1,h4,0.2803500000000001
2018-08-24 19:20:00+00:00,h2,h4,0.0464
2018-08-24 19:30:00+00:00,h1,h4,0.2907499999999999
2018-08-24 19:30:00+00:00,h2,h4,0.0154666666666667
2018-08-24 19:30:00+00:00,h2,h3,0.0279
2018-08-24 19:40:00+00:00,h2,h5,0.2883166666666666
2018-08-24 19:40:00+00:00,h1,h5,0.1725333333333332
2018-08-24 19:40:00+00:00,h1,h4,0.0784833333333333
2018-08-24 19:50:00+00:00,h1,h4,0.2558499999999999
2018-08-24 19:50:00+00:00,h2,h4,0.0524333333333332
2018-08-24 19:50:00+00:00,h2,h3,0.0707666666666667
